tabla de valores de funciones trigonometriscas
        x               sin(x)               cos(x)               tan(x)               sec(x) 
      ----           ----------           ----------           ----------           ----------
    -3.142               -0.000               -1.000                0.000               -1.000
    -3.043               -0.098               -0.995                0.098               -1.005
    -2.945               -0.195               -0.981                0.199               -1.020
    -2.847               -0.290               -0.957                0.303               -1.045
    -2.749               -0.383               -0.924                0.414               -1.082
    -2.651               -0.471               -0.882                0.535               -1.134
    -2.553               -0.556               -0.831                0.668               -1.203
    -2.454               -0.634               -0.773                0.821               -1.294
    -2.356               -0.707               -0.707                1.000               -1.414
    -2.258               -0.773               -0.634                1.219               -1.576
    -2.160               -0.831               -0.556                1.497               -1.800
    -2.062               -0.882               -0.471                1.871               -2.121
    -1.963               -0.924               -0.383                2.414               -2.613
    -1.865               -0.957               -0.290                3.297               -3.445
    -1.767               -0.981               -0.195                5.027               -5.126
    -1.669               -0.995               -0.098               10.153              -10.202
    -1.571               -1.000                0.000                ERROR                ERROR
    -1.473               -0.995                0.098              -10.153               10.202
    -1.374               -0.981                0.195               -5.027                5.126
    -1.276               -0.957                0.290               -3.297                3.445
    -1.178               -0.924                0.383               -2.414                2.613
    -1.080               -0.882                0.471               -1.871                2.121
    -0.982               -0.831                0.556               -1.497                1.800
    -0.884               -0.773                0.634               -1.219                1.576
    -0.785               -0.707                0.707               -1.000                1.414
    -0.687               -0.634                0.773               -0.821                1.294
    -0.589               -0.556                0.831               -0.668                1.203
    -0.491               -0.471                0.882               -0.535                1.134
    -0.393               -0.383                0.924               -0.414                1.082
    -0.295               -0.290                0.957               -0.303                1.045
    -0.196               -0.195                0.981               -0.199                1.020
    -0.098               -0.098                0.995               -0.098                1.005
     0.000                0.000                1.000                0.000                1.000
     0.098                0.098                0.995                0.098                1.005
     0.196                0.195                0.981                0.199                1.020
     0.295                0.290                0.957                0.303                1.045
     0.393                0.383                0.924                0.414                1.082
     0.491                0.471                0.882                0.535                1.134
     0.589                0.556                0.831                0.668                1.203
     0.687                0.634                0.773                0.821                1.294
     0.785                0.707                0.707                1.000                1.414
     0.884                0.773                0.634                1.219                1.576
     0.982                0.831                0.556                1.497                1.800
     1.080                0.882                0.471                1.871                2.121
     1.178                0.924                0.383                2.414                2.613
     1.276                0.957                0.290                3.297                3.445
     1.374                0.981                0.195                5.027                5.126
     1.473                0.995                0.098               10.153               10.202
     1.571                1.000                0.000                ERROR                ERROR
     1.669                0.995               -0.098              -10.153              -10.202
     1.767                0.981               -0.195               -5.027               -5.126
     1.865                0.957               -0.290               -3.297               -3.445
     1.963                0.924               -0.383               -2.414               -2.613
     2.062                0.882               -0.471               -1.871               -2.121
     2.160                0.831               -0.556               -1.497               -1.800
     2.258                0.773               -0.634               -1.219               -1.576
     2.356                0.707               -0.707               -1.000               -1.414
     2.454                0.634               -0.773               -0.821               -1.294
     2.553                0.556               -0.831               -0.668               -1.203
     2.651                0.471               -0.882               -0.535               -1.134
     2.749                0.383               -0.924               -0.414               -1.082
     2.847                0.290               -0.957               -0.303               -1.045
     2.945                0.195               -0.981               -0.199               -1.020
     3.043                0.098               -0.995               -0.098               -1.005
     3.142                0.000               -1.000               -0.000               -1.000
